Edition_Date	Edition_ID
2024-03-11	6836631
2024-02-26	6695603
2024-02-12	6591115
2024-01-22	6554646
2023-12-25	6548003
2023-12-04	6340027
2023-11-20	6335091
2023-11-06	6329250
2023-10-23	6323491
2023-10-09	6318762
2023-09-25	6314552
2023-09-04	6308639
2023-08-14	6301875
2023-07-24	6294931
2023-07-03	6289641
2023-06-12	6284493
2023-05-22	6279473
2023-05-08	6554576
2023-04-24	6272108
2023-04-10	6267624
2023-03-27	6264177
2023-03-13	6260211
2023-02-27	6256547
2023-02-13	6252795
2023-01-30	6248816
2023-01-16	6246434
2022-12-05	6237430
2022-11-21	6233252
2022-11-07	6227379
2022-10-24	6223099
2022-10-10	6219795
2022-09-26	6217185
2022-09-12	6210219
2022-08-22	6206429
2022-08-08	6201516
2022-07-25	6197189
2022-07-25	6197362
2022-07-04	6190866
2022-06-20	6186058
2022-06-06	6181223
2022-05-23	6176477
2022-05-09	6171751
2022-04-25	6167001
2022-04-11	6163466
2022-03-28	6158626
2022-03-14	6154739
2022-02-28	6148987
2022-02-14	6144774
2022-01-31	6142975
2022-01-17	6142971
2021-12-27	6133140
2021-12-06	6133167
2021-11-22	6122380
2021-11-08	6111148
2021-10-25	6106897
2021-10-11	6102800
2021-09-27	6098618
2021-09-13	6094536
2021-08-23	6089812
2021-08-02	6082647
2021-07-19	6078690
2021-07-05	6075407
2021-06-21	6072892
2021-06-07	6051930
2021-05-13	6048228
2021-05-10	6004222
2021-04-26	5955224
2021-04-12	5951743
2021-03-29	5947694
2021-03-15	5944063
2021-03-01	5940486
2021-02-15	5936018
2021-02-01	5932002
2021-01-18	5927326
2020-12-21	5921295
2020-12-14	5917371
2020-11-30	5913602
2020-11-23	5910870
2020-11-16	5907721
2020-11-02	5902710
2020-10-19	5897865
2020-10-05	5893167
2020-09-21	5887405
2020-08-31	5881573
2020-08-17	5876584
2020-08-03	5870450
2020-07-20	5864669
2020-07-06	5859172
2020-06-22	5851840
2020-06-15	5847952
2020-06-01	5840178
2020-05-25	5836596
2020-05-18	5833417
2020-05-11	5829761
2020-04-27	5822291
2020-04-20	5818218
2020-04-06	5810478
2020-03-30	5806214
2020-03-16	5796657
2020-03-02	5787420
2020-02-17	5778979
2020-02-10	5774257
2020-02-03	5770116
2020-01-27	5766171
2020-01-20	5762009
2019-12-23	5748137
2019-12-16	5744386
2019-12-02	5735404
2019-11-18	5720738
2019-11-14	5728202
2019-11-11	5714740
2019-11-04	5709330
2019-10-21	5696939
2019-10-14	5691627
2019-10-07	5686810
2019-09-30	5680981
2019-09-23	5675279
2019-09-16	5669498
2019-09-02	5658416
2019-08-26	5652772
2019-08-19	5647302
2019-08-05	5634764
2019-07-29	5629221
2019-07-22	5624252
2019-07-08	5615604
2019-07-01	5610714
2019-06-24	5606236
2019-06-17	5601969
2019-06-03	5594338
2019-05-27	5590214
2019-05-20	5586396
2019-05-13	5581698
2019-04-29	5572248
2019-04-22	5568295
2019-04-15	5564148
2019-04-08	5560206
2019-04-01	5555707
2019-03-25	5551291
2019-03-18	5546765
2019-03-11	5540852
2019-03-04	5534351
2019-02-18	5523761
2019-02-04	5511703
2019-01-28	5505429
2019-01-21	5498893
2019-01-14	5492614
2018-12-24	5476609
2018-12-17	5472300
2018-12-10	5466448
2018-11-26	5455477
2018-11-19	5448784
2018-11-12	5441415
2018-11-05	5434315
2018-10-29	5428154
2018-10-22	5421567
2018-10-15	5415016
2018-10-08	5407893
2018-10-01	5401619
2018-09-24	5394910
